title,rooms,size_m2,monthly_rent
Grøn delevenlig lejlighed - stille grøn oase med gratis parkering,3.0,65.0,8795.0
Delevenlig lejlighed med 2 altaner i Aarhus C,3.0,107.0,11250.0
"Hyggeligt rækkehus med sommerhus-stemning i Holme/Højbjerg - perfekt til den lille familie, par eller enlig",3.0,70.0,10500.0
Skøn 1-værelses lejlighed beliggende i hjertet af Aarhus.,1.0,55.0,7500.0
🏠 Indflytningsklar 1 værelses lejlighed i Viby,1.0,33.0,5000.0
Jægergårdsgade m. lille altan,2.0,44.0,8982.0
4 værelses lejlighed på Broloftet i Risskov udlejes,4.0,100.0,12100.0
STUDIO I HJERTET AF AARHUS,1.0,31.0,5895.0
SKØN 1-VÆRELSES I AARHUS C,1.0,31.0,5995.0
2 værelses lejlighed på Broloftet i Risskov udlejes,2.0,58.0,8650.0
Lys 4-værelses lejlighed med altan ,4.0,100.0,11800.0
Skøn lejlighed med stor altan på øverste etage,3.0,61.0,9995.0
2-værelses lejlighed med 2 altaner og mulighed for husdyr og gratis parkering,2.0,67.0,9750.0
STOR 2'ER MED EGEN ALTAN,2.0,64.0,8595.0
Skøn 2-værelses delevenlig lejlighed i hjertet af Viby!,2.0,65.0,7395.0
SKØN 2 VÆRELSES PÅ 78 KVM MIDT PÅ TRØJBORG,2.0,78.0,10995.0
God delevenlig 2 værelses lejlighed,2.0,63.0,7195.0
3 værelses med sydvendt altan,3.0,75.0,12987.41
Furnished - (Møbleret)- Aarhus C - Frederiksbjerg - Move in 1/10 2025,2.0,47.0,8500.0
 2 STORE VÆRELSER - DEJLIG STUE KØKKEN/ALRUM - HAVE - PARKERING ,3.0,82.0,10495.0
Fuldt møbleret 2-værelses lejlighed tæt på Århus,2.0,52.0,5500.0
Nyrenoveret midt i Aarhus C,2.0,60.0,9500.0
2 værelses lejlighed på Onsholtvej i Viby J udlejes,2.0,64.0,6820.0
Stor luksuriøs lejlighed på 186 m2 med tagterrasse i Nicolinehus udlejes,3.0,186.0,37000.0
Tæt på uddannelsessteder og offentlig transport,2.0,61.0,8600.0
4 værelses lejlighed,4.0,133.0,9800.0
Stor 1'er i hyggelig baggård,1.0,67.0,9050.0
Fremleje af hyggeligt sommerhus,4.0,83.0,14000.0
3- vær. delevenlig stuelejlighed udlejes max. 2 år,3.0,85.0,7700.0
Fantastisk flot 3-værelses ,3.0,87.0,10047.0
2 værelses lejlighed med adgang til kæmpe terrasse ,2.0,55.0,8500.0
Tilst - en moderne forstad med alt hvad du drømmer om!,4.0,105.0,10400.0
Skøn 3-værelses i Højbjerg,3.0,77.0,8400.0
Nybyggede 1-værelses lejligheder med hems i Aarhus,1.0,29.0,5350.0
2 værelses lejlighed på Borresøvej i Risskov udlejes,2.0,58.0,7795.0
5 værelses rækkehus på Fuglekærvej i Hasselager udlejes,5.0,109.0,12800.0
Lækkert lavenergi rækkehus.,5.0,144.0,13995.0
Skøn og lys lejlighed med altan - Erdahus i Åbyhøj,2.0,61.0,8850.0
"Nyt hjem ved skov, vand og by",4.0,101.0,14595.0
"En hverdag i smørhullet mellem skov, vand og by",2.0,56.0,8295.0
Billig lejlighed tæt på Viby,3.0,92.0,10995.0
“Pendler” søges til møbleret lejlighed Århus Syd,2.0,60.0,5000.0
2-VÆRELSES MED TERRASSE - HUSDYR TILLADT,2.0,48.0,6795.0
Stor 2-værelses med altan og flot havudsigt.,2.0,81.0,10500.0
5 værelses rækkehus på Mosegårdsparken i Trige udlejes,5.0,117.0,9495.0
Dejligt rækkehus i 2-plan i Tilst,4.0,114.0,13000.0
3 værelses lejlighed på Arresøvej i Risskov udlejes,3.0,65.0,9195.0
2 værelses lejlighed på Engsøvej i Risskov udlejes,2.0,61.0,7995.0
